獲補助年度,領域,公司名稱,計畫名稱,負責人姓名,登記地址(行政區),核定日期,計畫起始日,計畫到期日,核定補貼款(元),自籌款,總經費,產業類別(大類),資本額(申請時)
100,獎勵補貼,金漢妮旅行社股份有限公司,提升經營與服務品質之投資計畫 ,黃麗卿,中山區,1000613,991201,1010731,333000,94667000,95000000,住宿及餐飲業,7680000
100,獎勵補貼,立達國際電子股份有限公司,結合雲端服務及軟件之MicroSD card之品牌計畫,王立民,內湖區,1000905,1000501,1011231,472000,26528000,27000000,製造業,380000000
100,獎勵補貼,寶迅科技股份有限公司,提升整體技術服務投資計畫,王中北,信義區,1000905,1000801,1010731,260000,2890000,3150000,專業、科學及技術服務業,45000000
100,獎勵補貼,德義資訊股份有限公司,專業軟體技術服務投資計畫,施惠真,中正區,1001028,991001,1011231,220000,880000,1100000,資訊及通訊傳播業,12500000
100,獎勵補貼,日正食品工業股份有限公司,日正食品導入成本ABC/M管理制度與教育訓練暨㎏改善廠部環境與汰換生產設備增資計畫,劉慶堂,文山區,1001028,990901,1010228,1550000,58676000,60226000,製造業,90000000
100,獎勵補貼,康宇能源科技股份有限公司 ,行動複合式電源與冷凍保鮮整合控制系統,沈科呈,松山區,1001028,1000901,1010831,175000,2325000,2500000,製造業,3500000
100,獎勵補貼,聯合百科電子出版有限公司,經典藝文雜誌庫開發計畫,伍翠蓮,文山區,1001028,1001001,1010930,290000,6014000,6304000,資訊及通訊傳播業,20000000
100,獎勵補貼,安成國際藥業股份有限公司,具國際市場競爭力之高技術障礙學名藥開發計畫,陳志明,內湖區,1001028,990917,1001216,1200000,198800000,200000000,製造業,680315000
100,獎勵補貼,星裕國際股份有限公司,運動休閒零售店點及通路投資計畫,林彥男,內湖區,1001125,1000201,1031231,4800000,1145200000,1150000000,批發及零售業,862256000
100,獎勵補貼,唯豐肉類食品行,唯豐創新服務品質投資計畫,江瑞斌,大安區,1001028,1000901,1011031,320000,4580000,4900000,批發及零售業,5000000
100,獎勵補貼,鴻進科技股份有限公司,鴻進產品營運投資計畫,黃江城,內湖區,1001125,991001,1001231,130000,23870000,24000000,製造業,78000000
100,獎勵補貼,長榮生醫科技股份有限公司,成立台北市國際行銷營用中心擴充投資計畫,陳媚英,中正區,1001125,990801,1000430,4500000,225500000,230000000,專業、科學及技術服務業,40000000
100,獎勵補貼,澔奇數位科技股份有限公司,電子書包之智慧教室整合投資計畫,孫憶明,大安區,1001125,991001,1010930,120000,21880000,22000000,資訊及通訊傳播業,37000000
100,獎勵補貼,德甯股份有限公司,醫藥分工產業投資計畫,簡淑慧,中山區,1001125,1000101,1021231,5000000,715000000,720000000,批發及零售業,300000000
100,獎勵補貼,數位地球科技有限公司,空間資訊應用程式服務投資計畫,林水田,信義區,1001125,1000601,1030530,100000,17400000,17500000,資訊及通訊傳播業,10000000
100,獎勵補貼,出色創意股份有限公司,設計服務國際拓展投資計畫,林秀璐,大同區,1001125,1000901,1011231,120000,5539400,5659400,專業、科學及技術服務業,6600000
100,獎勵補貼,台灣微脂體股份有限公司,脂質載體緩釋新藥TLC399開發投資計畫,洪基隆,南港區,1001226,1010101,1031231,240000,74760000,75000000,專業、科學及技術服務業,388862000
100,獎勵補貼,億鴻系統科技股份有限公司,億鴻營運總部購置暨員工教育訓練投資計畫,張家豪,內湖區,1001226,990915,1011231,1700000,126600000,128300000,專業、科學及技術服務業,105300000
100,獎勵補貼,玩媒體股份有限公司,精品品牌通路拓展投資計畫,陳鴻儀,松山區,1001226,1000601,1020531,220000,19280000,19500000,批發及零售業,8500000
101,獎勵補貼,台灣舒瑞普股份有限公司,雷射縫合機械手臂系統開發投資計畫,鄒德勝,松山區,1010118,1010101,1010430,150000,13350000,13500000,製造業,20000000
101,獎勵補貼,大予創意設計有限公司,介面設計服務創新投資計畫,周志明,信義區,1010605,1010101,1011231,76000,2424000,2500000,資訊及通訊傳播業,2000000
101,獎勵補貼,實聯數位資通股份有限公司,觸控式行動裝置之雲端應用預約服務平台研發投資計畫,林伯實,內湖區,1010605,1010215,1011231,150000,12636000,12786000,資訊及通訊傳播業,18000000
101,獎勵補貼,取絕未來實業有限公司,蔣堂物賞擴店營運投資計畫,吳松洲,萬華區,1010907,1000601,1011230,270000,9730000,10000000,批發及零售業,10000000
101,獎勵補貼,宏奇科技股份有限公司,開發新型觸控式工業用平板電腦投資計畫,陳繼圖,內湖區,1010907,1000501,1030430,600000,34400000,35000000,製造業,36500000
101,獎勵補貼,研泰科技股份有限公司,e化室養殖魚塭即時監控暨通報系統開發投資計畫,邱郁祺,內湖區,1010907,1010101,1011231,50000,2450000,2500000,資訊及通訊傳播業,7000000
101,獎勵補貼,慶峰汽車商行,汽車電腦技術投資計畫,林宜靜,松山區,1010907,1010901,1021231,180000,300000,480000,其他服務業,1100000
101,獎勵補貼,連線網科技有限公司,日韓商品即時購物網站行銷推廣投資計畫  ,戴桂英,中正區,1011221,1011020,1061019,108000,2892000,3000000,資訊及通訊傳播業,3000000
102,獎勵補貼,連欣股份有限公司,樂活社群整合EC投資計畫,邵作俊,大安區,1020201,1011201,1031130,396000,2404000,2800000,製造業,3560000
101,獎勵補貼,向樂達工房,向樂達工房烘培教室設立投資計畫,林志豪,大同區,1011110,1011101,1021031,133320,433320,566640,住宿及餐飲業,240000
101,獎勵補貼,漢翊股份有限公司,素敵屋手創點心工房展店投資計畫,倪正文,大安區,1011110,1020301,1030831,140000,1447002,1587002,批發及零售業,5000000
101,獎勵補貼,北門電器有限公司,響亮新視界產品開發及行銷投資計畫,黃振南,中正區,1011110,1001101,1020630,400000,48600000,49000000,其他服務業,30000000
101,獎勵補貼,呼叫師傅科技有限公司,網路裝修媒合平台投資計畫,張嘉新,信義區,1011110,1011101,1021231,240000,1760000,2000000,資訊及通訊傳播業,2000000
101,獎勵補貼,雲長網路行銷有限公司,網路行銷系統整合投資計畫,劉兆聆,文山區,1011110,1011022,1031021,180000,4820000,5000000,資訊及通訊傳播業,10000000
101,獎勵補貼,走著瞧股份有限公司,建立虛擬名片平台開發投資計畫,鄭勝丰,中正區,1011110,1011101,1041130,228000,1176000,1404000,資訊及通訊傳播業,5132000
101,獎勵補貼,后冠文化事業有限公司,后冠國際中文翻譯平台研發投資計畫,張祐維,中山區,1011110,1011101,1021231,192000,1808000,2000000,資訊及通訊傳播業,2500000
101,獎勵補貼,優莫股份有限公司,商用APP模組化研發及行銷投資計畫,吳明哲,中山區,1011110,1011101,1021031,72000,1928000,2000000,資訊及通訊傳播業,5000000
101,獎勵補貼,天揚資訊股份有限公司,行動專賣APP研發及行銷投資計畫,林柏全,中正區,1011110,1011101,1041031,180000,3820000,4000000,資訊及通訊傳播業,4000000
101,獎勵補貼,紅米國際旅館有限公司,台北市國際青年旅館投資計畫,蕭宗仁,大同區,1011110,1011020,1061020,4000000,8000000,12000000,住宿及餐飲業,10000000
101,獎勵補貼,心裳實尚企業社,台灣名品時尚展店投資計畫,張惠芳,士林區,1011110,1011101,1031031,696000,2304000,3000000,批發及零售業,3000000
101,獎勵補貼,皇冠有限公司,亞太國際航空產業資源整合平台投資計畫,廖陳數,中山區,1011110,1011101,1061031,1092000,7431000,8523000,支援服務業,8000000
101,獎勵補貼,知識經濟國際行銷有限公司,觀光休閒產業標準化研發及行銷投資計畫,陳小康,松山區,1011221,1011101,1041031,552000,8056000,8608000,專業、科學及技術服務業,6010000
101,獎勵補貼,秉炫企業有限公司,岱爾夢都仕女健康美學會館品質提升暨擴大營業計畫,陳甘,中山區,1011221,1011001,1041031,860000,3877000,4737000,其他服務業,3000000
101,獎勵補貼,達振能源股份有限公司,儲能及工業電腦移動裝置鋰電池模組研發及銷售投資計畫,陳敦仁,內湖區,1011221,1011105,1041104,1018000,108982000,110000000,製造業,635000000
101,獎勵補貼,簡杰教育實業有限公司,精緻文創與升學課程研發與行銷投資計畫,簡鸞德,中山區,1011221,1011001,1060930,240000,9660000,9900000,教育服務業,2860000
101,獎勵補貼,全鼎資訊股份有限公司,即時資服維護平台投資計畫,張慧豐,中正區,1011221,1011101,1021031,168800,4831200,5000000,資訊及通訊傳播業,5000000
101,獎勵補貼,雷亞遊戲股份有限公司,古典音樂遊戲投資計畫,鐘志遠,中正區,1011221,1011101,1031031,552000,11448000,12000000,資訊及通訊傳播業,32000000
101,獎勵補貼,皇居國際有限公司,法藝家居投資計畫,鍾宜君,信義區,1011221,1011101,1060630,192000,2308000,2500000,批發及零售業,3000000
101,獎勵補貼,台灣好夥伴志業股份有限公司,台灣好夥伴社區綠美化城市農園投資計畫,林學賢,大安區,1011221,1011101,1031031,288000,2712000,3000000,專業、科學及技術服務業,3000000
101,獎勵補貼,台灣樂菲股份有限公司,台灣樂菲Laf'e品牌行銷投資計畫,詹文雄,內湖區,1011221,1011101,1021031,189000,71362098,71551098,批發及零售業,75000000
101,獎勵補貼,三二三網路科技股份有限公司,線上訂位訂購整合平台擴展投資計畫,顏嘉楠,中山區,1011221,1020101,1031231,1800000,49800000,51600000,資訊及通訊傳播業,29500000
101,獎勵補貼,立達國際電子股份有限公司,混合雲行動充電上網裝置產品研發及行銷投資計畫,王立民,內湖區,1011221,1011101,1030430,1810000,55890000,57700000,製造業,442220000
101,獎勵補貼,弘博鋼鐵股份有限公司,鋼鐵國際供應鏈即時管理雲端系統建構投資計畫,郭永成,中山區,1011221,1010101,1031231,1148000,88852000,90000000,製造業,418000000
101,獎勵補貼,東模股份有限公司,WEEKEE WEEKEE 綠色環保服飾品牌通路虛實整合投資計畫,詹格,信義區,1011221,1011101,1031031,750000,74250000,75000000,批發及零售業,15200000
101,獎勵補貼,聯合麗通國際有限公司,歐美芳香療法訓練中心投資計畫,梁鳳明,中山區,1011221,1011201,1031130,30000,2790000,2820000,批發及零售業,2500000
101,獎勵補貼,綠天使社會企業有限公司,『時尚．環保．綠天使』二手衣著連鎖展店投資計畫,林翠瑩,大安區,1011221,1011108,1041007,378000,4122000,4500000,批發及零售業,3500000
101,獎勵補貼,伊吉邦整合行銷有限公司,『歡樂聖誕嘉年華』聯合攝影展投資計畫,林建全,中正區,1011221,1011101,1031031,54000,1146000,1200000,支援服務業,1200000
101,獎勵補貼,學思科技股份有限公司,雲端學習系統擴充投資計畫,曾思遠,大安區,1011221,1011101,1041031,348000,51452000,51800000,資訊及通訊傳播業,17180000
101,獎勵補貼,智慧時尚股份有限公司,RFID卡片加值服務平台開發投資計畫,張育銓,信義區,1011221,1011101,1030731,700800,9408200,10109000,資訊及通訊傳播業,74960000
101,獎勵補貼,柏登生醫股份有限公司,綜合實驗室建置暨研發投資計畫,賴弘基,信義區,1011221,1010705,1070205,2126000,24895400,27021400,專業、科學及技術服務業,240000000
101,獎勵補貼,順寶國際股份有限公司,常溫顆粒飲料產品開發投資計畫,王亭傑,中山區,1011221,1020101,1021231,1320000,151680000,153000000,批發及零售業,70000000
101,獎勵補貼,狀聲詞有限公司,多元化環保商品研發與創新設計實驗空間投資計畫,蘇艾,信義區,1011221,1011201,1061130,514800,4628690,5143490,專業、科學及技術服務業,950000
101,獎勵補貼,咖啡箱有限公司,創意咖啡多元美食推廣投資計畫,邢光怡,松山區,1011221,1011216,1041215,144000,4708800,4852800,住宿及餐飲業,1030000
101,獎勵補貼,及雲行動科技有限公司,3D-AR多媒體行銷系統投資計畫,陳郁文,松山區,1011221,1011201,1021130,30600,969400,1000000,資訊及通訊傳播業,1000000
101,獎勵補貼,歐格馬股份有限公司,室內設計建材整合行銷計畫,周志承,大安區,1011221,1011101,1021031,250200,4749800,5000000,專業、科學及技術服務業,1500000
